,LS,JMSP,ESP,CO5,TeginOV,2H,Day 1,Day 2
1,2.50%,0.00%,0.00%,0.00%,0.00%,Y,Y,Y
2,2.50%,1.50%,0.00%,0.00%,0.00%,Y,Y,Y
3,2.50%,0.00%,0.00%,1.50%,0.00%,Y,Y,Y
4,0.00%,1.50%,0.00%,0.00%,0.00%,Y,Y,Y
5,2.50%,0.00%,1.50%,0.00%,0.00%,Y,Y,Y
6,5.00%,0.00%,0.00%,0.00%,0.00%,Y,Y,Y
7,2.50%,0.00%,0.00%,0.00%,0.00%,Y,Y,Y
8,0.00%,0.00%,2.50%,0.00%,0.00%,N,N,N
9,2.50%,0.00%,2.50%,0.00%,0.00%,N,N,N
10,0.00%,0.00%,5.00%,0.00%,0.00%,N,N,N
11,0.00%,0.00%,0.00%,0.00%,0.00%,Y,Y,Y
12,0.00%,2.50%,0.00%,0.00%,0.00%,Y,Y,Y
13,0.00%,5.00%,0.00%,0.00%,0.00%,Y,Y,Y
14,5.00%,0.00%,2.50%,0.00%,0.00%,Y,Y,Y
15,0.00%,0.00%,1.50%,0.00%,0.00%,N,Y,Y
